,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname,y_pred
2166,Time of the Wolf,2003,114,Drama,2,actress,6.5,10607,Anaïs Demoustier,1
2173,Champion,2002,117,Drama,1,actor,6.5,386,Oh-seong Yu,1
2174,Champion,2002,117,Drama,2,actress,6.5,386,Min-seo Chae,1
2213,Envy,2004,99,Comedy,1,actor,4.8,31012,Ben Stiller,4
2214,Envy,2004,99,Comedy,2,actor,4.8,31012,Jack Black,4
2251,The Inheritance,2003,115,Drama,1,actor,7.3,4732,Ulrich Thomsen,1
2252,The Inheritance,2003,115,Drama,2,actress,7.3,4732,Lisa Werlinder,1
2279,Daybreak,2001,90,Drama,1,actor,7.8,13,Paul Clemens,1
2280,Daybreak,2001,90,Drama,2,actress,7.8,13,Debra Henri,1
2283,Dynamite,2004,95,Thriller,1,actress,4.2,242,Mel Harris,4
2284,Dynamite,2004,95,Thriller,2,actor,4.2,242,Daniel Baldwin,4
2287,Hostage,2001,100,Action,1,actor,7.5,18,Cesar Montano,1
2288,Hostage,2001,100,Action,2,actor,7.5,18,Roi Vinzon,1
2301,Blessed,2002,77,Drama,1,actress,4.9,21,Jane Donald,4
2302,Blessed,2002,77,Drama,2,actress,4.9,21,Hera Dunleavy,4
2307,Deception,2003,91,Thriller,1,actress,4.0,59,Karina Lombard,4
2308,Deception,2003,91,Thriller,2,actor,4.0,59,Jack Langedijk,4
2335,The Exam,2002,80,Drama,1,actress,6.9,138,Raya Nasiri,1
2336,The Exam,2002,80,Drama,2,actor,6.9,138,Farzin Aghaie,1
2351,Thicker Than Water,2002,90,Drama,1,actor,7.4,12,Steven C. Willoughby,1
2352,Thicker Than Water,2002,90,Drama,2,actor,7.4,12,Grant Willoughby,1
2377,The Inner Circle,2005,88,Drama,1,actress,7.4,60,Barbara Williams,1
2378,The Inner Circle,2005,88,Drama,2,actor,7.4,60,Michael O'Keefe,1
2423,Gone,2002,80,Thriller,1,actor,6.7,1366,Dirk Been,1
2424,Gone,2002,80,Thriller,2,actor,6.7,1366,Joel Klug,1
2425,Let's Talk,2002,98,Drama,1,actor,7.2,144,Boman Irani,1
2426,Let's Talk,2002,98,Drama,2,actress,7.2,144,Maia Katrak,1
2439,The Affair,2004,99,Drama,1,actress,5.8,86,Kelsey Oldershaw,1
2440,The Affair,2004,99,Drama,2,actor,5.8,86,Andy Mackenzie,1
2453,Brothers,2003,80,Drama,1,actor,3.9,131,Max Bremer,4
2454,Brothers,2003,80,Drama,2,actor,3.9,131,Aaro Vuotila,4
2543,In Your Hands,2004,101,Drama,1,actress,6.8,1156,Ann Eleonora Jørgensen,1
2544,In Your Hands,2004,101,Drama,2,actress,6.8,1156,Trine Dyrholm,1
2553,Daybreak,2003,110,Drama,1,actress,7.1,1481,Pernilla August,1
2554,Daybreak,2003,110,Drama,2,actor,7.1,1481,Jakob Eklund,1
2555,Milk and Honey,2003,90,Drama,1,actor,6.4,76,Clint Jordan,1
2556,Milk and Honey,2003,90,Drama,2,actress,6.4,76,Kirsten Russell,1
2559,Peaches,2004,109,Drama,1,actress,6.1,488,Emma Lung,1
2560,Peaches,2004,109,Drama,2,actor,6.1,488,Hugo Weaving,1
2624,Marathon,2002,74,Drama,1,actress,6.1,170,Sara Paull,1
2625,Marathon,2002,74,Drama,2,actor,6.1,170,Trevor Moore,1
2702,Damaged Goods,2002,93,Drama,1,actress,5.9,40,Angela Nicole Babb,1
2703,Damaged Goods,2002,93,Drama,2,actor,5.9,40,William Salyers,1
2718,Security,2003,95,Comedy,1,actor,7.9,23,Stephen Kearin,1
2719,Security,2003,95,Comedy,2,actor,7.9,23,John Kovacevich,1
2726,Interview,2003,90,Drama,1,actress,6.9,1544,Katja Schuurman,1
2727,Interview,2003,90,Drama,2,actor,6.9,1544,Pierre Bokma,1
2760,Captive,2003,115,Drama,1,actress,7.4,698,Bárbara Lombardo,1
2761,Captive,2003,115,Drama,2,actress,7.4,698,Susana Campos,1
2766,Sisters,2005,88,Drama,1,actress,6.5,304,Valeria Bertuccelli,1
2767,Sisters,2005,88,Drama,2,actress,6.5,304,Ingrid Rubio,1
2881,The Room,2003,99,Drama,1,actor,3.6,87844,Tommy Wiseau,4
2882,The Room,2003,99,Drama,2,actress,3.6,87844,Juliette Danielle,4
2885,Shiner,2004,89,Drama,1,actor,3.7,386,Scott Parietti,4
2886,Shiner,2004,89,Drama,2,actor,3.7,386,Derris Nile,4
2889,Virgin,2003,116,Drama,1,actress,5.5,568,Elisabeth Moss,1
2890,Virgin,2003,116,Drama,2,actor,5.5,568,Stephen Brian Jones,1
2891,Wasteland,2002,116,Drama,1,actor,5.8,31,Luis Martinez,1
2892,Wasteland,2002,116,Drama,2,actress,5.8,31,Meghan McCabe,1
2963,Grace,2005,89,Drama,1,actor,7.7,20,Kyle Ingleman,1
2964,Grace,2005,89,Drama,2,actress,7.7,20,Kate Clarke,1
2969,Limelight,2003,90,Comedy,1,actor,8.8,10,Greg Shields,1
2970,March,2002,72,Drama,1,actor,6.8,12,George Danno,1
2971,March,2002,72,Drama,2,actor,6.8,12,Sean Oliver,1
2982,Catharsis,2003,113,Drama,1,actor,8.2,14,Hiroyuki Onoue,1
2983,Catharsis,2003,113,Drama,2,actress,8.2,14,Mai Saito,1
3034,Dawn,2003,99,Horror,1,actor,6.6,96,Ray Boucher,1
3035,Dawn,2003,99,Horror,2,actress,6.6,96,Kacie Young,1
3036,Frozen,2005,90,Thriller,1,actress,5.7,605,Shirley Henderson,4
3037,Frozen,2005,90,Thriller,2,actor,5.7,605,Roshan Seth,4
3040,Little Men,2003,86,Comedy,1,actor,6.9,77,Erjan Bekmuratov,1
3041,Little Men,2003,86,Comedy,2,actor,6.9,77,Oleg Kerimov,1
3048,The Return,2003,110,Drama,1,actor,7.9,45074,Vladimir Garin,1
3049,The Return,2003,110,Drama,2,actor,7.9,45074,Ivan Dobronravov,1
3068,One for the Road,2003,94,Comedy,1,actor,5.2,273,Rupert Procter,4
3069,One for the Road,2003,94,Comedy,2,actor,5.2,273,Gregory Chisholm,4
3190,On the Edge,2002,97,Action,1,actor,4.0,198,Fred Williamson,4
3191,On the Edge,2002,97,Action,2,actor,4.0,198,Gary Busey,4
